value,data
8800,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""124""},{""id"":54,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""124 Spider""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""126""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""127""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""130""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""131""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500""},{""id"":49,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500C""},{""id"":74,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500e""},{""id"":48,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500L""},{""id"":60,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500L Cross""},{""id"":51,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500L Living""},{""id"":52,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500L Trekking""},{""id"":59,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500L Urban""},{""id"":58,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500L Wagon""},{""id"":57,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500S""},{""id"":53,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""500X""},{""id"":64,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""600""},{""id"":75,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""600e""},{""id"":25,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Albea""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Barchetta""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Brava""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Bravo""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Cinquecento""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Coupe""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Croma""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Dino""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Doblo""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ducato""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Fiorino""},{""id"":47,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Freemont""},{""id"":55,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Fullback""},{""id"":44,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Grande Punto""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Idea""},{""id"":46,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Linea""},{""id"":23,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Marea""},{""id"":24,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Marengo""},{""id"":26,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Multipla""},{""id"":50,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""New Panda""},{""id"":27,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Palio""},{""id"":28,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Panda""},{""id"":30,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Punto""},{""id"":38,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Punto Evo""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Qubo""},{""id"":31,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Regata""},{""id"":32,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ritmo""},{""id"":33,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Scudo""},{""id"":45,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sedici""},{""id"":34,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Seicento""},{""id"":29,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Siena""},{""id"":35,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Spider Europa""},{""id"":36,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Stilo""},{""id"":37,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Strada""},{""id"":56,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Talento""},{""id"":39,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Tempra""},{""id"":40,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Tipo""},{""id"":76,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Topolino""},{""id"":41,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ulysse""},{""id"":42,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Uno""},{""id"":43,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""X 1/9""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
9000,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Aerostar""},{""id"":54,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""B-Max""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Bronco""},{""id"":119,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Bronco Sport""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Capri""},{""id"":52,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""C-Max""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Cougar""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Courier""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Crown""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Econoline""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Econovan""},{""id"":56,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""EcoSport""},{""id"":48,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Edge""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Escape""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Escort""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Excursion""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Expedition""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Explorer""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Express""},{""id"":63,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""F 100""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""F 150""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""F 250""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""F 350""},{""id"":45,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Fairlane""},{""id"":46,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Falcon""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Fiesta""},{""id"":53,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Flex""},{""id"":20,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Focus""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Fusion""},{""id"":23,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Galaxy""},{""id"":24,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Granada""},{""id"":50,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Grand C-Max""},{""id"":59,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Grand Tourneo""},{""id"":44,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""GT""},{""id"":25,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ka/Ka+""},{""id"":49,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Kuga""},{""id"":27,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Maverick""},{""id"":28,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Mercury""},{""id"":29,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Mondeo""},{""id"":30,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Mustang""},{""id"":118,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Mustang Mach-E""},{""id"":31,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Orion""},{""id"":32,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Probe""},{""id"":33,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Puma""},{""id"":34,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ranger""},{""id"":55,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Raptor""},{""id"":35,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Scorpio""},{""id"":36,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sierra""},{""id"":47,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S-Max""},{""id"":26,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sportka""},{""id"":37,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Streetka""},{""id"":38,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Taunus""},{""id"":39,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Taurus""},{""id"":40,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Thunderbird""},{""id"":-61,""group"":true,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Tourneo (alle)""},{""id"":41,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Tourneo""},{""id"":61,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Tourneo Connect""},{""id"":60,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Tourneo Courier""},{""id"":62,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Tourneo Custom""},{""id"":-39,""group"":true,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Transit""},{""id"":42,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Transit""},{""id"":51,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Transit Connect""},{""id"":58,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Transit Courier""},{""id"":57,""group"":false,""groupId"":{""empty"":false,""present"":true},""subModel"":true,""displayName"":""Transit Custom""},{""id"":43,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Windstar""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
9900,"[{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Acadia""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Envoy""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Safari""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Savana""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sierra""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sonoma""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Syclone""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Terrain""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Typhoon""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Vandura""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Yukon""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
10850,"[{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
11000,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Accord""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Aerodeck""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""City""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Civic""},{""id"":25,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Clarity""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Concerto""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""CR-V""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""CRX""},{""id"":24,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""CR-Z""},{""id"":39,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""e""},{""id"":557,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""e:Ny1""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Element""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""FR-V""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""HR-V""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Insight""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Integra""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Jazz""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Legend""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Logo""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""NSX""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Odyssey""},{""id"":23,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Pilot""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Prelude""},{""id"":26,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Ridgeline""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S2000""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Shuttle""},{""id"":20,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Stream""},{""id"":558,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""ZR-V""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
11050,"[{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H1""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H2""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H3""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
11600,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Accent""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Atos""},{""id"":24,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Azera""},{""id"":56,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Bayon""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Coupe""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Elantra""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Excel""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Galloper""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Genesis""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Getz""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Grandeur""},{""id"":38,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Grand Santa Fe""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H-1""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H 100""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H-1 Starex""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H 200""},{""id"":39,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""H350""},{""id"":31,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""i10""},{""id"":32,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""i20""},{""id"":30,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""i30""},{""id"":33,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""i40""},{""id"":62,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""INSTER""},{""id"":40,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""IONIQ""},{""id"":58,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""IONIQ 5""},{""id"":60,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""IONIQ 6""},{""id"":36,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""ix20""},{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""ix35""},{""id"":35,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""ix55""},{""id"":41,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Kona""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Lantra""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Matrix""},{""id"":49,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Nexo""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Pony""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Santa Fe""},{""id"":20,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Santamo""},{""id"":22,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""S-Coupe""},{""id"":23,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Sonata""},{""id"":59,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Staria""},{""id"":25,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Terracan""},{""id"":26,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Trajet""},{""id"":27,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Tucson""},{""id"":37,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Veloster""},{""id"":21,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Veracruz""},{""id"":28,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""XG 30""},{""id"":29,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""XG 350""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
11650,"[{""id"":12,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""EX30""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""EX35""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""EX37""},{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""FX""},{""id"":3,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""G35""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""G37""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""M30""},{""id"":11,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""M35""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""M37""},{""id"":18,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q30""},{""id"":6,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q45""},{""id"":13,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q50""},{""id"":14,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q60""},{""id"":15,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Q70""},{""id"":19,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""QX30""},{""id"":16,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""QX50""},{""id"":7,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""QX56""},{""id"":34,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""QX60""},{""id"":17,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""QX70""},{""id"":35,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""QX80""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
11900,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Campo""},{""id"":10,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""D-Max""},{""id"":4,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Gemini""},{""id"":5,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Midi""},{""id"":8,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""PICK UP""},{""id"":9,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Trooper""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
12100,"[{""id"":2,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Massif""},{""id"":1,""group"":false,""groupId"":{""empty"":true,""present"":false},""subModel"":false,""displayName"":""Altele""}]"
